1569980829,1,4,1,"C4,CJ,C6,C2;SQ,S6,S3,S9;S8,S7,S10,S5;DJ,D6,DK,D10;D5,D9,D8,DQ;S4,SJ,DA,SA;CQ,C7,C8,C10;CA,D2,C3,C9;D3,D7,D4,C5;S2,SK,HA,HK;H5,H3,HQ,H10;H7,HJ,H6,H9;H8,CK,H4,H2"
1569980829,1,0,1,"C7,CK,C6,C2;D10,DQ,DJ,D5;S10,S4,S6,S2;D3,D7,D9,D8;C3,C4,CQ,SA;SQ,S8,S3,S5;DK,D4,DA,D2;S7,SJ,D6,C9;CA,C10,S9,C5;C8,H9,H3,HK;HQ,H6,H7,HJ;H10,H4,H5,H2;CJ,H8,SK,HA"
1569980829,1,23,1,"C5,C9,CJ,C2;D6,DJ,D3,D10;S6,S8,S4,S3;D2,DQ,D4,C6;S5,S9,SJ,S2;D7,D5,C4,SK;DK,D8,C3,C10;D9,C8,SA,CA;DA,CK,SQ,S10;HK,H4,H6,H2;HJ,S7,H5,H10;H7,CQ,H8,HQ;H9,C7,HA,H3"
1569980829,1,0,1,"C10,C5,C3,C2;C4,CJ,C9,C8;S6,S2,SQ,S8;D2,D9,D4,D7;DJ,D6,D10,D5;DQ,D3,D8,S10;DK,S7,DA,SJ;C7,S9,CK,CQ;H6,H10,HJ,H9;S4,S3,HQ,SK;CA,H3,H8,SA;C6,H4,H5,S5;HA,HK,H2,H7"
1569980829,1,17,1,"C7,C10,C8,C2;DA,DJ,D5,DQ;SK,S7,S8,SA;S2,SJ,S10,SQ;D3,DK,D10,D7;CJ,CA,C9,C3;C4,C5,CK,S9;D6,D9,D8,S6;S4,D2,S5,H6;H9,HA,HK,H2;HJ,H7,H3,HQ;H10,C6,H8,H4;H5,CQ,D4,S3"
1569980829,1,0,1,"C10,CJ,CK,C2;S4,SK,S5,S2;S6,SA,SQ,SJ;D6,DK,D3,D5;DJ,D10,D7,D9;S7,D8,S3,S10;CQ,C5,C9,C8;D2,DA,C3,D4;C7,CA,S8,C6;DQ,H9,H2,H10;HA,H8,HJ,H4;H7,HQ,H5,H3;HK,S9,C4,H6"
1569980829,1,26,1,"C4,CQ,CA,C2;S8,S2,S7,S3;C7,C10,C9,C6;CJ,C3,D4,DJ;D2,D7,DK,D3;DA,D8,DQ,D5;D10,D6,SQ,C5;D9,S4,SK,S5;HK,H7,H9,HQ;HA,H5,H6,H4;HJ,H2,H3,S9;H8,S10,SA,C8;H10,CK,SJ,S6"
1569980829,1,26,1,"C4,CA,C3,C2;SK,S8,S2,SJ;S7,S5,S4,SA;D10,DQ,D8,D5;D9,D6,D4,DJ;C7,C8,CJ,C6;S10,D3,D7,S9;C10,C9,CK,DA;CQ,HQ,H4,H3;HJ,H5,H2,H8;HA,H10,H7,SQ;HK,DK,H6,S3;C5,D2,H9,S6"
1569980829,1,0,1,"C5,CA,C8,C2;S5,S7,S10,SK;DA,D4,DJ,D5;S3,SJ,S4,S8;C3,CK,C9,C6;D7,D6,D9,D8;C10,C4,C7,CJ;SQ,S9,SA,S6;D10,D3,D2,DK;H6,HQ,HA,H5;HK,H3,H8,H7;H9,H10,DQ,H4;CQ,S2,H2,HJ"
1569980829,1,23,1,"CJ,CA,C8,C2;D3,D10,D2,D5;S10,S6,S5,SQ;D6,D9,DQ,D8;S2,SK,DK,SA;S9,S3,D7,S4;S8,C7,D4,S7;DA,CK,DJ,C10;SJ,H7,C5,H8;H9,H2,H10,H4;HA,C9,H6,HJ;HQ,C4,H3,H5;C6,C3,HK,CQ"
