1570989900,2,20,2,"CQ,CJ,C8,C2;SK,SJ,S7,S5;SQ,SA,S4,S2;H10,S3,C10,S6;H8,S10,D4,S9;C7,DQ,CA,C9;H4,H3,H6,HQ;DA,D6,DJ,D10;C5,C6,C3,H9;DK,HK,H2,H7;D8,H5,HJ,C4;D5,D3,S8,CK;D2,HA,D9,D7"
1570989900,2,0,2,"C9,C5,CJ,C2;SK,S9,S4,S6;S5,SA,S2,SJ;C7,C4,CA,CK;C6,CQ,C3,C10;D6,D7,D8,D3;DQ,D9,DJ,D5;S7,S10,SQ,S3;DA,D2,HK,D4;H2,H6,HJ,HA;H9,H8,H10,C8;H5,HQ,D10,DK;H3,H4,H7,S8"
1570989900,2,1,2,"C3,CA,CQ,C2;DK,D8,DJ,DQ;C6,CK,C4,C9;D2,D7,HJ,D3;S9,SQ,S5,SK;S8,H8,S3,S7;C7,C10,SJ,C8;H5,H10,H3,H4;S6,HA,SA,S2;H2,H6,HK,H7;S4,S10,D10,CJ;D9,D4,H9,HQ;D6,D5,DA,C5"
1570989900,2,5,2,"C10,C5,C7,C2;SJ,SA,S6,S10;CA,C4,C9,C6;S2,S9,SQ,SK;S8,S5,D3,S4;D5,D2,D4,DJ;H10,C8,HK,CK;H6,HJ,H4,H5;DK,D9,HA,D10;H2,H9,H8,HQ;DQ,CQ,H7,C3;D8,DA,S7,D6;D7,S3,CJ,H3"
1570989900,2,4,2,"C5,CK,CQ,C2;S3,S9,S5,SJ;D6,DJ,D2,D5;C8,CJ,C6,C9;C10,SA,CA,C3;C7,HA,H4,C4;S6,S8,S4,S2;H7,H5,H3,HJ;D4,DA,D7,D9;DQ,DK,D10,D8;HK,H8,S7,S10;HQ,H10,SQ,SK;H6,H9,H2,D3"
1570989900,2,0,2,"CJ,CA,C7,C2;D4,D5,DA,DK;C4,C9,C5,C6;SQ,D2,DJ,D6;CQ,H4,D8,CK;HA,SJ,H7,H2;C3,HK,C8,D10;HJ,DQ,H6,H3;C10,S3,HQ,D7;S7,D9,S10,S4;SA,S8,H9,S6;H8,H5,S2,SK;H10,D3,S5,S9"
1570989900,2,4,2,"CQ,C8,C10,C2;S9,S6,SA,SJ;CJ,C9,CK,CA;S4,S8,SK,S10;C5,DA,D2,C3;C7,SQ,C6,D4;D5,D9,D7,D10;HQ,S5,C4,S2;HJ,H7,H10,H9;DJ,H6,D3,D8;H3,HK,H2,HA;H8,S7,DQ,S3;H4,D6,DK,H5"
1570989900,2,0,2,"CQ,CA,CJ,C2;DJ,D7,D6,D8;D2,DQ,DA,D10;SA,S9,S8,SK;C7,C3,CK,S6;HA,S3,S4,S5;C8,H10,H9,C5;C9,H4,C6,S2;C10,SQ,C4,D3;H5,S10,HQ,H6;HJ,S7,D5,SJ;H8,H3,D4,DK;H7,H2,D9,HK"
1570989900,2,3,2,"CK,CJ,DA,C2;C4,CA,H3,C9;H8,H4,H10,H2;SJ,S5,S10,S7;HK,H6,H7,H9;C5,C3,HA,C6;SQ,S2,S8,S3;CQ,C10,S6,HQ;SK,DQ,S9,SA;DJ,D4,D5,D7;D6,C8,D10,D2;D9,S4,HJ,H5;D8,DK,D3,C7"
1570989900,2,13,2,"CA,C6,C10,C2;C7,S5,C5,CJ;DJ,DK,DQ,D3;SQ,S7,S10,SA;S8,S4,S9,SK;D6,DA,D8,D10;S2,S3,HK,S6;CK,C3,HJ,CQ;D2,D7,SJ,D9;HA,H5,H7,H6;D4,H9,C9,D5;HQ,H4,C8,H2;H8,H3,C4,H10"
1570989900,2,18,2,"C10,C8,CJ,C2;D10,D8,D5,DA;D7,D6,HA,DK;S9,S4,S3,S10;D3,D4,HQ,DJ;SK,S5,S2,SA;H5,C7,H6,H2;C3,H7,CQ,C5;SJ,S6,S8,S7;H8,H4,H3,CA;H9,H10,D2,SQ;HK,DQ,C9,C4;HJ,C6,D9,CK"
1570989900,2,15,2,"CQ,CK,C3,C2;C4,CJ,CA,C10;S8,SJ,S7,S9;SK,SA,H10,S6;D10,D2,D9,DQ;D5,D3,DK,D8;S3,S10,H6,S5;H4,H2,H5,H3;S2,C8,C9,S4;HA,H7,H8,H9;DA,HQ,DJ,D7;C5,C7,D4,SQ;C6,D6,HK,HJ"
1570989900,2,19,2,"C8,CK,CA,C2;DQ,D5,D4,D3;C7,C3,C10,C5;D8,H6,D7,D6;SJ,SK,SA,S4;HA,S7,S3,S5;HJ,C9,CJ,CQ;H10,HK,H4,H2;D10,DJ,H8,DA;D9,D2,C6,DK;H9,S8,S10,SQ;H7,H3,S6,S2;H5,HQ,C4,S9"
